zipcode,zone,trange,zonetitle,last_spring_frost,first_fall_frost,growing_season
49355,6a,-10 to -5,6a: -10 to -5,May 4,Oct 13,161 days
49356,6a,-10 to -5,6a: -10 to -5,May 4,Oct 13,161 days
49357,6a,-10 to -5,6a: -10 to -5,May 4,Oct 13,161 days
49401,6a,-10 to -5,6a: -10 to -5,May 22,Sep 23,123 days
49402,5b,-15 to -10,5b: -15 to -10,May 23,Oct 1,130 days
49403,6a,-10 to -5,6a: -10 to -5,May 22,Sep 23,123 days
49404,6a,-10 to -5,6a: -10 to -5,May 22,Sep 23,123 days
49405,6a,-10 to -5,6a: -10 to -5,May 23,Oct 1,130 days
49406,6b,-5 to 0,6b: -5 to 0,May 4,Oct 15,163 days
49408,6b,-5 to 0,6b: -5 to 0,May 4,Oct 15,163 days
49409,6b,-5 to 0,6b: -5 to 0,May 6,Oct 16,162 days
49410,6a,-10 to -5,6a: -10 to -5,May 22,Oct 5,135 days
49411,6a,-10 to -5,6a: -10 to -5,May 22,Oct 5,135 days
49412,5b,-15 to -10,5b: -15 to -10,May 16,Oct 6,142 days
49413,6a,-10 to -5,6a: -10 to -5,May 16,Oct 6,142 days
49415,6b,-5 to 0,6b: -5 to 0,May 7,Oct 12,157 days
49416,6b,-5 to 0,6b: -5 to 0,Apr 23,Nov 1,191 days
49417,6b,-5 to 0,6b: -5 to 0,May 6,Oct 16,162 days
49418,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49419,6a,-10 to -5,6a: -10 to -5,May 4,Oct 15,163 days
49420,6a,-10 to -5,6a: -10 to -5,May 20,Oct 3,135 days
49421,5b,-15 to -10,5b: -15 to -10,May 24,Sep 24,122 days
49422,6b,-5 to 0,6b: -5 to 0,May 4,Oct 15,163 days
49423,6b,-5 to 0,6b: -5 to 0,May 4,Oct 15,163 days
49424,6b,-5 to 0,6b: -5 to 0,May 2,Oct 17,167 days
49425,6a,-10 to -5,6a: -10 to -5,May 16,Oct 6,142 days
49426,6a,-10 to -5,6a: -10 to -5,May 4,Oct 15,163 days
49427,6a,-10 to -5,6a: -10 to -5,May 11,Oct 8,149 days
49428,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49429,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49430,6a,-10 to -5,6a: -10 to -5,May 22,Sep 23,123 days
49431,6b,-5 to 0,6b: -5 to 0,May 23,Oct 1,130 days
49434,7a,0 to 5,7a: 0 to 5,May 2,Oct 17,167 days
49435,6a,-10 to -5,6a: -10 to -5,May 22,Sep 23,123 days
49436,6b,-5 to 0,6b: -5 to 0,May 20,Oct 3,135 days
49437,6a,-10 to -5,6a: -10 to -5,May 27,Sep 27,122 days
49440,6b,-5 to 0,6b: -5 to 0,May 7,Oct 12,157 days
49441,6b,-5 to 0,6b: -5 to 0,May 7,Oct 12,157 days
49442,6a,-10 to -5,6a: -10 to -5,May 7,Oct 12,157 days
49443,6b,-5 to 0,6b: -5 to 0,May 7,Oct 12,157 days
49444,6b,-5 to 0,6b: -5 to 0,May 7,Oct 12,157 days
49445,6b,-5 to 0,6b: -5 to 0,May 7,Oct 12,157 days
49446,6a,-10 to -5,6a: -10 to -5,May 27,Sep 27,122 days
49448,6a,-10 to -5,6a: -10 to -5,May 6,Oct 16,162 days
49449,6b,-5 to 0,6b: -5 to 0,May 23,Oct 1,130 days
49450,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49451,6a,-10 to -5,6a: -10 to -5,May 22,Sep 23,123 days
49452,6a,-10 to -5,6a: -10 to -5,May 27,Sep 27,122 days
49453,6b,-5 to 0,6b: -5 to 0,May 4,Oct 15,163 days
49454,6a,-10 to -5,6a: -10 to -5,May 23,Oct 1,130 days
49455,6a,-10 to -5,6a: -10 to -5,May 20,Oct 3,135 days
49456,6b,-5 to 0,6b: -5 to 0,May 6,Oct 16,162 days
49457,6a,-10 to -5,6a: -10 to -5,May 16,Oct 6,142 days
49458,6a,-10 to -5,6a: -10 to -5,May 23,Oct 1,130 days
49459,5b,-15 to -10,5b: -15 to -10,May 24,Sep 24,122 days
49460,6b,-5 to 0,6b: -5 to 0,May 2,Oct 17,167 days
49461,6b,-5 to 0,6b: -5 to 0,May 27,Sep 27,122 days
49463,6b,-5 to 0,6b: -5 to 0,May 27,Sep 27,122 days
49464,6a,-10 to -5,6a: -10 to -5,May 4,Oct 15,163 days
49468,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49501,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49502,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49503,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49504,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49505,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49506,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49507,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49508,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49509,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49510,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49512,6a,-10 to -5,6a: -10 to -5,May 7,Oct 8,153 days
49514,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49515,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49516,6a,-10 to -5,6a: -10 to -5,May 4,Oct 13,161 days
49518,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49519,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49523,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49525,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49528,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49530,6a,-10 to -5,6a: -10 to -5,May 7,Oct 8,153 days
49534,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49544,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49546,6a,-10 to -5,6a: -10 to -5,May 4,Oct 13,161 days
49548,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49555,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49560,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49588,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49599,6a,-10 to -5,6a: -10 to -5,May 14,Oct 5,143 days
49601,5a,-20 to -15,5a: -20 to -15,May 24,Sep 25,123 days
49610,6a,-10 to -5,6a: -10 to -5,May 19,Oct 9,142 days
49611,5b,-15 to -10,5b: -15 to -10,May 21,Oct 1,132 days
49612,5b,-15 to -10,5b: -15 to -10,May 30,Sep 24,116 days
49613,6b,-5 to 0,6b: -5 to 0,May 15,Oct 13,150 days
49614,6a,-10 to -5,6a: -10 to -5,May 15,Oct 13,150 days
49615,5b,-15 to -10,5b: -15 to -10,May 28,Sep 25,119 days
49616,6b,-5 to 0,6b: -5 to 0,May 15,Oct 13,150 days
49617,6a,-10 to -5,6a: -10 to -5,May 15,Oct 13,150 days
49618,5a,-20 to -15,5a: -20 to -15,May 24,Sep 25,123 days
49619,5b,-15 to -10,5b: -15 to -10,Jun 3,Sep 20,108 days
49620,5b,-15 to -10,5b: -15 to -10,May 16,Oct 9,145 days
49621,6b,-5 to 0,6b: -5 to 0,May 28,Oct 3,127 days
49622,5b,-15 to -10,5b: -15 to -10,May 28,Sep 25,119 days
49623,5a,-20 to -15,5a: -20 to -15,May 20,Sep 28,130 days
49625,5b,-15 to -10,5b: -15 to -10,Jun 3,Sep 20,108 days
49626,6b,-5 to 0,6b: -5 to 0,May 22,Oct 5,135 days
49627,6a,-10 to -5,6a: -10 to -5,May 28,Sep 25,119 days
49628,6b,-5 to 0,6b: -5 to 0,May 9,Oct 19,162 days
49629,6a,-10 to -5,6a: -10 to -5,May 20,Oct 12,144 days
49630,6b,-5 to 0,6b: -5 to 0,May 28,Oct 3,127 days
49631,5a,-20 to -15,5a: -20 to -15,May 20,Sep 28,130 days
49632,5a,-20 to -15,5a: -20 to -15,Jun 5,Sep 7,93 days
49633,5b,-15 to -10,5b: -15 to -10,Jun 2,Sep 15,104 days
49634,6b,-5 to 0,6b: -5 to 0,May 22,Oct 5,135 days
49635,6b,-5 to 0,6b: -5 to 0,May 9,Oct 19,162 days
49636,6b,-5 to 0,6b: -5 to 0,May 28,Oct 3,127 days
49637,6a,-10 to -5,6a: -10 to -5,May 16,Oct 9,145 days
49638,5b,-15 to -10,5b: -15 to -10,Jun 3,Sep 20,108 days
49639,5a,-20 to -15,5a: -20 to -15,May 20,Sep 28,130 days
49640,6b,-5 to 0,6b: -5 to 0,May 9,Oct 19,162 days
49642,5b,-15 to -10,5b: -15 to -10,May 20,Sep 28,130 days
49643,6a,-10 to -5,6a: -10 to -5,May 28,Oct 3,127 days
49644,5b,-15 to -10,5b: -15 to -10,Jun 3,Sep 20,108 days
49645,6a,-10 to -5,6a: -10 to -5,Jun 3,Sep 20,108 days
49646,5a,-20 to -15,5a: -20 to -15,May 30,Sep 24,116 days
49648,6a,-10 to -5,6a: -10 to -5,May 20,Oct 12,144 days
49649,5b,-15 to -10,5b: -15 to -10,May 19,Oct 9,142 days
49650,6a,-10 to -5,6a: -10 to -5,May 28,Oct 3,127 days
49651,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49653,6b,-5 to 0,6b: -5 to 0,May 5,Oct 26,173 days
49654,6b,-5 to 0,6b: -5 to 0,May 16,Oct 19,155 days
49655,5a,-20 to -15,5a: -20 to -15,May 22,Sep 26,126 days
49656,5a,-20 to -15,5a: -20 to -15,May 22,Sep 26,126 days
49657,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49659,5a,-20 to -15,5a: -20 to -15,May 30,Sep 24,116 days
49660,6b,-5 to 0,6b: -5 to 0,May 22,Oct 5,135 days
49663,5b,-15 to -10,5b: -15 to -10,May 24,Sep 25,123 days
49664,6b,-5 to 0,6b: -5 to 0,May 28,Oct 3,127 days
49665,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49666,5b,-15 to -10,5b: -15 to -10,May 19,Oct 9,142 days
49667,5a,-20 to -15,5a: -20 to -15,Jun 5,Sep 7,93 days
49668,5b,-15 to -10,5b: -15 to -10,Jun 3,Sep 20,108 days
49670,6b,-5 to 0,6b: -5 to 0,May 16,Oct 19,155 days
49673,6b,-5 to 0,6b: -5 to 0,May 20,Oct 12,144 days
49674,6b,-5 to 0,6b: -5 to 0,May 16,Oct 19,155 days
49675,6b,-5 to 0,6b: -5 to 0,May 22,Oct 5,135 days
49676,6a,-10 to -5,6a: -10 to -5,May 30,Sep 24,116 days
49677,5a,-20 to -15,5a: -20 to -15,May 20,Sep 28,130 days
49679,5a,-20 to -15,5a: -20 to -15,May 20,Sep 28,130 days
49680,5b,-15 to -10,5b: -15 to -10,May 31,Sep 28,119 days
49682,6b,-5 to 0,6b: -5 to 0,May 5,Oct 26,173 days
49683,6a,-10 to -5,6a: -10 to -5,May 15,Oct 13,150 days
49684,6a,-10 to -5,6a: -10 to -5,May 16,Oct 9,145 days
49685,6a,-10 to -5,6a: -10 to -5,May 16,Oct 9,145 days
49686,6b,-5 to 0,6b: -5 to 0,May 19,Oct 9,142 days
49688,5a,-20 to -15,5a: -20 to -15,May 22,Sep 26,126 days
49689,5b,-15 to -10,5b: -15 to -10,Jun 3,Sep 20,108 days
49690,6a,-10 to -5,6a: -10 to -5,May 20,Oct 12,144 days
49696,5b,-15 to -10,5b: -15 to -10,May 19,Oct 9,142 days
49701,5b,-15 to -10,5b: -15 to -10,May 13,Oct 16,155 days
49705,4b,-25 to -20,4b: -25 to -20,Jun 16,Sep 5,80 days
49706,5a,-20 to -15,5a: -20 to -15,Jun 6,Sep 13,98 days
49707,5b,-15 to -10,5b: -15 to -10,May 13,Oct 10,149 days
49709,5a,-20 to -15,5a: -20 to -15,May 28,Sep 21,115 days
49710,4b,-25 to -20,4b: -25 to -20,May 17,Oct 5,140 days
49711,6a,-10 to -5,6a: -10 to -5,May 12,Oct 11,151 days
49712,5b,-15 to -10,5b: -15 to -10,May 29,Sep 27,120 days
49713,5a,-20 to -15,5a: -20 to -15,May 29,Sep 27,120 days
49715,4b,-25 to -20,4b: -25 to -20,May 31,Sep 24,115 days
49716,4b,-25 to -20,4b: -25 to -20,Jun 6,Sep 13,98 days
49717,5a,-20 to -15,5a: -20 to -15,Jun 6,Sep 13,98 days
49718,5b,-15 to -10,5b: -15 to -10,May 28,Sep 20,114 days
49719,5a,-20 to -15,5a: -20 to -15,Jun 5,Sep 18,104 days
49720,6a,-10 to -5,6a: -10 to -5,May 5,Oct 22,169 days
49721,5a,-20 to -15,5a: -20 to -15,May 18,Oct 4,138 days
49722,5b,-15 to -10,5b: -15 to -10,May 23,Oct 4,133 days
49723,5b,-15 to -10,5b: -15 to -10,May 22,Oct 7,137 days
49724,4b,-25 to -20,4b: -25 to -20,May 28,Sep 30,124 days
49725,5b,-15 to -10,5b: -15 to -10,May 11,Oct 14,155 days
49726,5a,-20 to -15,5a: -20 to -15,May 11,Oct 14,155 days
49727,5b,-15 to -10,5b: -15 to -10,May 22,Oct 1,131 days
49728,5a,-20 to -15,5a: -20 to -15,May 28,Sep 24,118 days
49729,5b,-15 to -10,5b: -15 to -10,May 22,Oct 1,131 days
49730,5a,-20 to -15,5a: -20 to -15,May 21,Oct 1,132 days
49733,5a,-20 to -15,5a: -20 to -15,May 20,Oct 1,133 days
49734,5a,-20 to -15,5a: -20 to -15,May 28,Sep 22,116 days
49735,5a,-20 to -15,5a: -20 to -15,May 28,Sep 22,116 days
49736,5a,-20 to -15,5a: -20 to -15,May 11,Oct 14,155 days
49737,5b,-15 to -10,5b: -15 to -10,May 22,Oct 7,137 days
49738,5a,-20 to -15,5a: -20 to -15,May 30,Sep 21,113 days
49739,5a,-20 to -15,5a: -20 to -15,May 30,Sep 21,113 days
49740,5b,-15 to -10,5b: -15 to -10,May 22,Oct 7,137 days
49743,5a,-20 to -15,5a: -20 to -15,May 16,Oct 6,142 days
49744,5a,-20 to -15,5a: -20 to -15,May 23,Sep 27,126 days
49745,5a,-20 to -15,5a: -20 to -15,Jun 5,Sep 18,104 days
49746,5a,-20 to -15,5a: -20 to -15,May 21,Sep 28,129 days
49747,5a,-20 to -15,5a: -20 to -15,May 23,Sep 27,126 days
49748,5a,-20 to -15,5a: -20 to -15,May 28,Sep 24,118 days
49749,4b,-25 to -20,4b: -25 to -20,May 28,Sep 20,114 days
49751,5a,-20 to -15,5a: -20 to -15,Jun 16,Sep 5,80 days
49752,4b,-25 to -20,4b: -25 to -20,May 28,Sep 24,118 days
49753,5a,-20 to -15,5a: -20 to -15,May 23,Sep 27,126 days
49755,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49756,5a,-20 to -15,5a: -20 to -15,May 25,Sep 27,124 days
49757,5b,-15 to -10,5b: -15 to -10,May 22,Oct 7,137 days
49759,5b,-15 to -10,5b: -15 to -10,May 27,Sep 25,120 days
49760,5a,-20 to -15,5a: -20 to -15,May 29,Sep 24,117 days
49761,5a,-20 to -15,5a: -20 to -15,May 18,Oct 4,138 days
49762,5a,-20 to -15,5a: -20 to -15,May 31,Sep 24,115 days
49764,5a,-20 to -15,5a: -20 to -15,May 23,Oct 4,133 days
49765,5a,-20 to -15,5a: -20 to -15,May 27,Sep 25,120 days
49766,6a,-10 to -5,6a: -10 to -5,May 13,Oct 10,149 days
49768,5a,-20 to -15,5a: -20 to -15,Jun 5,Sep 25,111 days
49769,5a,-20 to -15,5a: -20 to -15,Jun 6,Sep 13,98 days
49770,5b,-15 to -10,5b: -15 to -10,May 23,Oct 4,133 days
49774,4b,-25 to -20,4b: -25 to -20,Jun 5,Sep 18,104 days
49775,5b,-15 to -10,5b: -15 to -10,May 18,Oct 4,138 days
49776,5b,-15 to -10,5b: -15 to -10,May 21,Sep 28,129 days
49777,6a,-10 to -5,6a: -10 to -5,May 21,Sep 28,129 days
49779,6a,-10 to -5,6a: -10 to -5,May 16,Oct 6,142 days
49780,4b,-25 to -20,4b: -25 to -20,Jun 7,Sep 16,100 days
49781,5b,-15 to -10,5b: -15 to -10,May 22,Oct 7,137 days
49782,6a,-10 to -5,6a: -10 to -5,May 18,Oct 11,145 days
49783,4b,-25 to -20,4b: -25 to -20,May 17,Oct 5,140 days
49784,5a,-20 to -15,5a: -20 to -15,Jun 5,Sep 18,104 days
49785,5a,-20 to -15,5a: -20 to -15,Jun 7,Sep 16,100 days
49786,5a,-20 to -15,5a: -20 to -15,Jun 7,Sep 16,100 days
49788,5a,-20 to -15,5a: -20 to -15,May 17,Oct 5,140 days
49791,4b,-25 to -20,4b: -25 to -20,May 18,Oct 4,138 days
49793,5a,-20 to -15,5a: -20 to -15,May 28,Sep 24,118 days
49795,5a,-20 to -15,5a: -20 to -15,May 31,Sep 21,112 days
49796,5b,-15 to -10,5b: -15 to -10,May 23,Oct 4,133 days
49797,5a,-20 to -15,5a: -20 to -15,May 20,Oct 1,133 days
49799,4b,-25 to -20,4b: -25 to -20,Jun 16,Sep 5,80 days
49801,4b,-25 to -20,4b: -25 to -20,May 23,Sep 25,124 days
49802,4b,-25 to -20,4b: -25 to -20,May 23,Sep 25,124 days
49805,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49806,5b,-15 to -10,5b: -15 to -10,Jun 5,Sep 18,104 days
49807,5a,-20 to -15,5a: -20 to -15,May 20,Oct 3,135 days
49808,5b,-15 to -10,5b: -15 to -10,May 28,Sep 30,124 days
49812,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49814,4a,-30 to -25,4a: -30 to -25,Jun 12,Sep 3,82 days
49815,4b,-25 to -20,4b: -25 to -20,May 30,Sep 18,110 days
49816,5a,-20 to -15,5a: -20 to -15,May 23,Oct 8,137 days
49817,5a,-20 to -15,5a: -20 to -15,May 23,Sep 13,112 days
49818,5a,-20 to -15,5a: -20 to -15,May 25,Sep 25,122 days
49820,5a,-20 to -15,5a: -20 to -15,May 31,Sep 24,115 days
49821,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49822,5b,-15 to -10,5b: -15 to -10,Jun 5,Sep 18,104 days
49825,5a,-20 to -15,5a: -20 to -15,Jun 5,Sep 18,104 days
49826,5a,-20 to -15,5a: -20 to -15,Jun 5,Sep 18,104 days
49827,5a,-20 to -15,5a: -20 to -15,May 31,Sep 24,115 days
49829,5a,-20 to -15,5a: -20 to -15,May 20,Oct 3,135 days
49831,4b,-25 to -20,4b: -25 to -20,May 23,Sep 25,124 days
49833,5a,-20 to -15,5a: -20 to -15,May 20,Sep 25,127 days
49834,4b,-25 to -20,4b: -25 to -20,May 31,Sep 17,108 days
49835,5b,-15 to -10,5b: -15 to -10,May 23,Sep 13,112 days
49836,5a,-20 to -15,5a: -20 to -15,May 31,Sep 24,115 days
49837,5a,-20 to -15,5a: -20 to -15,May 25,Sep 28,125 days
49838,5b,-15 to -10,5b: -15 to -10,May 31,Sep 24,115 days
49839,5b,-15 to -10,5b: -15 to -10,Jun 2,Oct 4,123 days
49840,5a,-20 to -15,5a: -20 to -15,May 15,Oct 5,142 days
49841,5a,-20 to -15,5a: -20 to -15,May 20,Sep 25,127 days
49845,5a,-20 to -15,5a: -20 to -15,May 25,Sep 25,122 days
49847,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49848,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49849,4b,-25 to -20,4b: -25 to -20,May 31,Sep 17,108 days
49852,5a,-20 to -15,5a: -20 to -15,May 23,Sep 25,124 days
49853,5a,-20 to -15,5a: -20 to -15,May 27,Sep 29,124 days
49854,5a,-20 to -15,5a: -20 to -15,May 15,Oct 5,142 days
49855,5b,-15 to -10,5b: -15 to -10,May 15,Oct 15,152 days
49858,5b,-15 to -10,5b: -15 to -10,May 10,Oct 5,147 days
49861,4a,-30 to -25,4a: -30 to -25,year-round risk,year-round risk,n/a
49862,5b,-15 to -10,5b: -15 to -10,May 29,Oct 3,126 days
49863,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49864,5b,-15 to -10,5b: -15 to -10,May 23,Sep 13,112 days
49865,4b,-25 to -20,4b: -25 to -20,May 31,Sep 17,108 days
49866,4b,-25 to -20,4b: -25 to -20,May 29,Sep 22,115 days
49868,5a,-20 to -15,5a: -20 to -15,May 27,Sep 29,124 days
49870,4b,-25 to -20,4b: -25 to -20,May 23,Sep 25,124 days
49871,5a,-20 to -15,5a: -20 to -15,May 29,Sep 22,115 days
49872,5a,-20 to -15,5a: -20 to -15,May 25,Sep 25,122 days
49873,5a,-20 to -15,5a: -20 to -15,May 25,Sep 25,122 days
49874,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49876,4b,-25 to -20,4b: -25 to -20,May 23,Sep 25,124 days
49877,4b,-25 to -20,4b: -25 to -20,May 31,Sep 17,108 days
49878,5a,-20 to -15,5a: -20 to -15,May 25,Sep 28,125 days
49879,4a,-30 to -25,4a: -30 to -25,year-round risk,year-round risk,n/a
49880,5a,-20 to -15,5a: -20 to -15,May 25,Sep 25,122 days
49881,4b,-25 to -20,4b: -25 to -20,May 30,Sep 18,110 days
49883,5a,-20 to -15,5a: -20 to -15,Jun 2,Oct 4,123 days
49884,5a,-20 to -15,5a: -20 to -15,May 29,Oct 3,126 days
49885,5a,-20 to -15,5a: -20 to -15,May 20,Sep 25,127 days
49886,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49887,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49891,5a,-20 to -15,5a: -20 to -15,Jun 2,Sep 20,109 days
49892,5a,-20 to -15,5a: -20 to -15,May 23,Sep 25,124 days
49893,5a,-20 to -15,5a: -20 to -15,May 28,Sep 20,114 days
49894,5a,-20 to -15,5a: -20 to -15,May 20,Oct 3,135 days
49895,4b,-25 to -20,4b: -25 to -20,May 29,Oct 3,126 days
49896,5a,-20 to -15,5a: -20 to -15,May 25,Sep 25,122 days
49901,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49902,4b,-25 to -20,4b: -25 to -20,May 30,Sep 18,110 days
49903,4a,-30 to -25,4a: -30 to -25,Jun 14,Sep 2,79 days
49905,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49908,5a,-20 to -15,5a: -20 to -15,May 31,Sep 17,108 days
49910,4b,-25 to -20,4b: -25 to -20,May 31,Sep 21,112 days
49911,4b,-25 to -20,4b: -25 to -20,May 26,Sep 22,118 days
49912,4b,-25 to -20,4b: -25 to -20,Jun 4,Sep 12,99 days
49913,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49915,4a,-30 to -25,4a: -30 to -25,Jun 12,Sep 3,82 days
49916,5a,-20 to -15,5a: -20 to -15,Jun 6,Sep 18,103 days
49917,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49918,6a,-10 to -5,6a: -10 to -5,May 19,Oct 14,147 days
49919,4a,-30 to -25,4a: -30 to -25,May 22,Sep 23,123 days
49920,4a,-30 to -25,4a: -30 to -25,Jun 14,Sep 2,79 days
49921,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49922,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49925,4b,-25 to -20,4b: -25 to -20,May 31,Sep 21,112 days
49927,4a,-30 to -25,4a: -30 to -25,Jun 12,Sep 3,82 days
49929,5a,-20 to -15,5a: -20 to -15,May 31,Sep 23,114 days
49930,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49931,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49934,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49935,4a,-30 to -25,4a: -30 to -25,Jun 12,Sep 3,82 days
49938,4b,-25 to -20,4b: -25 to -20,May 26,Sep 22,118 days
49942,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49945,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49946,5a,-20 to -15,5a: -20 to -15,Jun 6,Sep 15,100 days
49947,4a,-30 to -25,4a: -30 to -25,May 31,Sep 21,112 days
49948,4b,-25 to -20,4b: -25 to -20,May 31,Sep 23,114 days
49950,5b,-15 to -10,5b: -15 to -10,May 24,Sep 26,124 days
49952,5a,-20 to -15,5a: -20 to -15,Jun 1,Sep 19,109 days
49953,5a,-20 to -15,5a: -20 to -15,Jun 2,Sep 25,114 days
49955,5a,-20 to -15,5a: -20 to -15,May 24,Sep 26,124 days
49958,5a,-20 to -15,5a: -20 to -15,May 31,Sep 17,108 days
49959,4a,-30 to -25,4a: -30 to -25,May 26,Sep 22,118 days
49960,4b,-25 to -20,4b: -25 to -20,Jun 2,Sep 25,114 days
49961,4b,-25 to -20,4b: -25 to -20,Jun 1,Sep 19,109 days
49962,5a,-20 to -15,5a: -20 to -15,Jun 6,Sep 15,100 days
49963,5a,-20 to -15,5a: -20 to -15,May 24,Sep 26,124 days
49964,4a,-30 to -25,4a: -30 to -25,Jun 12,Sep 3,82 days
49965,5a,-20 to -15,5a: -20 to -15,May 31,Sep 23,114 days
49967,4b,-25 to -20,4b: -25 to -20,Jun 4,Sep 12,99 days
49968,4a,-30 to -25,4a: -30 to -25,May 26,Sep 22,118 days
49969,4b,-25 to -20,4b: -25 to -20,Jun 4,Sep 12,99 days
49970,4b,-25 to -20,4b: -25 to -20,Jun 1,Sep 19,109 days
49971,4b,-25 to -20,4b: -25 to -20,May 31,Sep 21,112 days
50001,5b,-15 to -10,5b: -15 to -10,Apr 28,Oct 10,164 days
50002,5b,-15 to -10,5b: -15 to -10,May 8,Sep 28,142 days
50003,5b,-15 to -10,5b: -15 to -10,May 2,Oct 3,153 days
50005,5a,-20 to -15,5a: -20 to -15,May 4,Sep 30,148 days
50006,5a,-20 to -15,5a: -20 to -15,May 3,Oct 4,153 days
50007,5b,-15 to -10,5b: -15 to -10,Apr 29,Oct 9,162 days
50008,5b,-15 to -10,5b: -15 to -10,Apr 27,Oct 13,168 days
50009,5b,-15 to -10,5b: -15 to -10,Apr 29,Oct 9,162 days
50010,5b,-15 to -10,5b: -15 to -10,May 2,Oct 2,152 days
50012,5b,-15 to -10,5b: -15 to -10,May 2,Oct 2,152 days
50013,5b,-15 to -10,5b: -15 to -10,May 2,Oct 2,152 days
50014,5b,-15 to -10,5b: -15 to -10,May 2,Oct 2,152 days
50020,5b,-15 to -10,5b: -15 to -10,May 6,Sep 26,142 days
50021,5b,-15 to -10,5b: -15 to -10,Apr 29,Oct 9,162 days
50022,5a,-20 to -15,5a: -20 to -15,May 6,Sep 26,142 days
50023,5b,-15 to -10,5b: -15 to -10,Apr 29,Oct 9,162 days
50025,5a,-20 to -15,5a: -20 to -15,May 6,Sep 28,144 days
50026,5a,-20 to -15,5a: -20 to -15,May 8,Sep 28,142 days
50027,5b,-15 to -10,5b: -15 to -10,Apr 28,Oct 9,163 days
50028,5b,-15 to -10,5b: -15 to -10,Apr 28,Oct 11,165 days
50029,5a,-20 to -15,5a: -20 to -15,May 8,Sep 28,142 days
50031,5a,-20 to -15,5a: -20 to -15,May 2,Oct 3,153 days
50032,5b,-15 to -10,5b: -15 to -10,Apr 29,Oct 9,162 days
50034,5a,-20 to -15,5a: -20 to -15,May 8,Sep 27,141 days
50035,5b,-15 to -10,5b: -15 to -10,Apr 29,Oct 9,162 days
50036,5a,-20 to -15,5a: -20 to -15,May 3,Oct 6,155 days
