zipcode,zone,trange,zonetitle,last_spring_frost,first_fall_frost,growing_season
28745,7a,0 to 5,7a: 0 to 5,May 7,Oct 10,155 days
28746,8a,10 to 15,8a: 10 to 15,Apr 11,Oct 24,195 days
28747,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28748,7a,0 to 5,7a: 0 to 5,Apr 26,Oct 17,173 days
28749,7a,0 to 5,7a: 0 to 5,May 3,Oct 9,158 days
28750,8a,10 to 15,8a: 10 to 15,Apr 1,Nov 5,217 days
28751,7a,0 to 5,7a: 0 to 5,May 7,Oct 10,155 days
28752,7b,5 to 10,7b: 5 to 10,Apr 11,Oct 27,198 days
28753,7a,0 to 5,7a: 0 to 5,May 4,Oct 13,161 days
28754,7a,0 to 5,7a: 0 to 5,May 4,Oct 13,161 days
28755,7a,0 to 5,7a: 0 to 5,May 2,Oct 13,163 days
28756,8a,10 to 15,8a: 10 to 15,Apr 11,Oct 24,195 days
28757,7a,0 to 5,7a: 0 to 5,Apr 11,Oct 25,196 days
28758,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28759,7b,5 to 10,7b: 5 to 10,Apr 26,Oct 17,173 days
28760,7b,5 to 10,7b: 5 to 10,Apr 17,Oct 22,187 days
28761,7b,5 to 10,7b: 5 to 10,Apr 11,Oct 27,198 days
28762,7b,5 to 10,7b: 5 to 10,Apr 29,Oct 17,170 days
28763,7b,5 to 10,7b: 5 to 10,May 1,Oct 11,162 days
28765,7a,0 to 5,7a: 0 to 5,May 2,Oct 14,164 days
28766,7b,5 to 10,7b: 5 to 10,Apr 26,Oct 17,173 days
28768,7a,0 to 5,7a: 0 to 5,Apr 26,Oct 17,173 days
28770,7a,0 to 5,7a: 0 to 5,Apr 27,Oct 16,171 days
28771,7a,0 to 5,7a: 0 to 5,Apr 24,Oct 21,179 days
28772,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28773,7b,5 to 10,7b: 5 to 10,Apr 1,Nov 5,217 days
28774,7b,5 to 10,7b: 5 to 10,Apr 22,Oct 21,181 days
28775,7a,0 to 5,7a: 0 to 5,May 1,Oct 11,162 days
28776,7b,5 to 10,7b: 5 to 10,Apr 17,Oct 22,187 days
28777,7a,0 to 5,7a: 0 to 5,May 2,Oct 14,164 days
28778,7a,0 to 5,7a: 0 to 5,Apr 30,Oct 19,171 days
28779,7b,5 to 10,7b: 5 to 10,Apr 26,Oct 16,172 days
28781,7a,0 to 5,7a: 0 to 5,Apr 20,Oct 20,182 days
28782,8a,10 to 15,8a: 10 to 15,Apr 1,Nov 5,217 days
28783,7a,0 to 5,7a: 0 to 5,Apr 26,Oct 16,172 days
28784,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28785,7a,0 to 5,7a: 0 to 5,May 7,Oct 10,155 days
28786,7a,0 to 5,7a: 0 to 5,May 7,Oct 10,155 days
28787,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28788,7b,5 to 10,7b: 5 to 10,Apr 26,Oct 16,172 days
28789,7a,0 to 5,7a: 0 to 5,Apr 23,Oct 15,174 days
28790,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28791,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28792,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28793,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28801,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28802,7b,5 to 10,7b: 5 to 10,May 2,Oct 12,162 days
28803,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28804,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28805,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28806,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28810,7b,5 to 10,7b: 5 to 10,Apr 17,Oct 19,184 days
28813,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28814,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28815,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28816,7b,5 to 10,7b: 5 to 10,Apr 13,Oct 26,195 days
28901,7a,0 to 5,7a: 0 to 5,Apr 23,Oct 18,177 days
28902,7b,5 to 10,7b: 5 to 10,Apr 30,Oct 15,167 days
28903,7b,5 to 10,7b: 5 to 10,Apr 30,Oct 15,167 days
28904,7b,5 to 10,7b: 5 to 10,Apr 27,Oct 16,171 days
28905,7b,5 to 10,7b: 5 to 10,Apr 30,Oct 15,167 days
28906,7b,5 to 10,7b: 5 to 10,Apr 30,Oct 15,167 days
28909,7b,5 to 10,7b: 5 to 10,Apr 30,Oct 15,167 days
29001,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 5,217 days
29002,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29003,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 6,224 days
29006,8a,10 to 15,8a: 10 to 15,Mar 27,Nov 11,228 days
29009,8a,10 to 15,8a: 10 to 15,Apr 4,Oct 31,209 days
29010,8b,15 to 20,8b: 15 to 20,Apr 4,Oct 31,209 days
29014,8a,10 to 15,8a: 10 to 15,Apr 6,Nov 1,208 days
29015,8a,10 to 15,8a: 10 to 15,Apr 6,Nov 1,208 days
29016,8a,10 to 15,8a: 10 to 15,Apr 15,Oct 23,190 days
29018,8b,15 to 20,8b: 15 to 20,Mar 23,Nov 11,232 days
29020,8a,10 to 15,8a: 10 to 15,Apr 10,Oct 29,201 days
29021,8a,10 to 15,8a: 10 to 15,Apr 10,Oct 29,201 days
29030,8b,15 to 20,8b: 15 to 20,Mar 23,Nov 11,232 days
29031,8a,10 to 15,8a: 10 to 15,Apr 13,Oct 25,194 days
29032,8a,10 to 15,8a: 10 to 15,Apr 10,Oct 29,201 days
29033,8b,15 to 20,8b: 15 to 20,Mar 24,Nov 9,229 days
29036,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29037,8a,10 to 15,8a: 10 to 15,Apr 7,Oct 31,206 days
29038,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 6,224 days
29039,8b,15 to 20,8b: 15 to 20,Mar 23,Nov 11,232 days
29040,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29041,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 5,217 days
29042,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 6,224 days
29044,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29045,8b,15 to 20,8b: 15 to 20,Mar 31,Nov 9,222 days
29046,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 8,226 days
29047,8b,15 to 20,8b: 15 to 20,Mar 30,Nov 6,220 days
29048,8b,15 to 20,8b: 15 to 20,Mar 30,Nov 6,220 days
29051,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 5,217 days
29052,8b,15 to 20,8b: 15 to 20,Mar 29,Nov 5,220 days
29053,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 1,213 days
29054,8b,15 to 20,8b: 15 to 20,Mar 27,Nov 11,228 days
29055,8a,10 to 15,8a: 10 to 15,Apr 6,Nov 1,208 days
29056,8b,15 to 20,8b: 15 to 20,Apr 3,Nov 2,212 days
29058,8a,10 to 15,8a: 10 to 15,Mar 30,Nov 8,222 days
29059,8b,15 to 20,8b: 15 to 20,Mar 30,Nov 6,220 days
29061,8b,15 to 20,8b: 15 to 20,Mar 21,Nov 12,235 days
29062,8b,15 to 20,8b: 15 to 20,Apr 10,Oct 29,201 days
29063,8b,15 to 20,8b: 15 to 20,Apr 15,Oct 23,190 days
29065,8a,10 to 15,8a: 10 to 15,Mar 29,Nov 5,220 days
29067,8a,10 to 15,8a: 10 to 15,Mar 30,Nov 8,222 days
29069,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 8,226 days
29070,8a,10 to 15,8a: 10 to 15,Mar 27,Nov 11,228 days
29071,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 1,213 days
29072,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 1,213 days
29073,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 1,213 days
29074,8a,10 to 15,8a: 10 to 15,Mar 30,Nov 8,222 days
29075,8a,10 to 15,8a: 10 to 15,Mar 29,Nov 5,220 days
29078,8a,10 to 15,8a: 10 to 15,Apr 3,Nov 2,212 days
29079,8b,15 to 20,8b: 15 to 20,Apr 4,Nov 1,210 days
29080,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 8,226 days
29081,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 6,224 days
29082,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 6,224 days
29101,8a,10 to 15,8a: 10 to 15,Apr 4,Nov 1,210 days
29102,8b,15 to 20,8b: 15 to 20,Apr 1,Nov 5,217 days
29104,8b,15 to 20,8b: 15 to 20,Mar 26,Nov 8,226 days
29105,8a,10 to 15,8a: 10 to 15,Mar 27,Nov 11,228 days
29107,8b,15 to 20,8b: 15 to 20,Mar 22,Nov 9,231 days
29108,8a,10 to 15,8a: 10 to 15,Apr 5,Nov 1,209 days
29111,8b,15 to 20,8b: 15 to 20,Apr 3,Nov 2,212 days
29112,8b,15 to 20,8b: 15 to 20,Apr 2,Nov 1,212 days
